Lowestoft / Lowestoft Monckton Ave from Sept 2007
Location 6543E 2946N 25m amsl to July 2007 & from Sept 2007 6530E 2938N 18m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1939   1    7.0     2.2       7   121.5    48.5
   1939   2    8.7     2.3       3    23.7   112.6
   1939   3    7.9     2.7       1    50.5    ---
   1939   4   12.9     5.2       0    62.5   192.3
   1939   5   13.6     6.8       0    15.6    ---
   1939   6   17.2     9.8       0    31.8   234.5
   1939   7   19.9    12.4       0    57.7   186.1
   1939   8   20.1    13.1       0    99.1   202.3
   1939   9   18.6    12.8       0    39.4   150.6
   1939  10   12.2     7.3       0   163.9   102.8
   1939  11   11.4     6.0       0   109.4    ---
   1939  12    5.7     1.1      10    56.3    45.3
   1940   1    2.2    -2.4      23    51.8    ---
   1940   2    3.9    -1.0      14    32.7    ---
   1940   3    9.2     2.0       8    60.5   126.4
   1940   4   11.5     4.6       0    33.8    94.8
   1940   5   15.3     7.0       0     1.4   265.0
   1940   6   19.4    11.1       0    13.4    ---
   1940   7   20.2    11.0       0   157.6   211.3
   1940   8   20.5    10.8       0    19.1    ---
   1940   9   18.2     9.0       0    27.7   170.1
   1940  10   13.9     7.6       0    37.8    ---
   1940  11   10.4     4.4       1   136.7    88.1
   1940  12    6.6     1.3       4    46.4    ---
   1941   1    2.6    -1.3      18    64.4    42.0
   1941   2    5.7     0.2      13    50.8    57.2
   1941   3    9.1     1.9       2    55.6    ---
   1941   4   10.0     3.7       1    26.2   141.3
   1941   5   13.3     6.0       1    51.7    ---
   1941   6   18.6    10.1       0    10.7    ---
   1941   7   22.3    13.5       0    32.0   248.1
   1941   8   19.4    11.0       0   108.4   157.2
   1941   9   18.0    11.1       0    11.5    ---
   1941  10   13.8     7.2       0    67.9    ---
   1941  11    9.3     4.0       3    62.8    ---
   1941  12    7.8     1.8      12    31.2    ---
   1942   1    2.7    -2.1      25    83.0    ---
   1942   2    1.8    -1.9      25    24.5    ---
   1942   3    5.8     0.5      10    61.3   103.9
   1942   4   11.4     4.9       0    11.8   239.1
   1942   5   15.3     7.0       0    27.5   187.4
   1942   6   18.2     9.1       0    30.1   224.9
   1942   7   19.8    12.2       0   105.0    ---
   1942   8   21.1    13.4       0    31.9   165.0
   1942   9   19.1    11.0       0    36.5   133.4
   1942  10   15.4     8.1       0   115.5    ---
   1942  11    9.2     3.6       1    92.0    44.7
   1942  12    8.3     3.5       6    61.4    ---
   1943   1    6.8     2.3       5    98.6    55.6
   1943   2    9.0     1.9       3    15.8   102.0
   1943   3   10.3     2.2       6     7.3    ---
   1943   4   16.1     6.6       0    18.3   173.5
   1943   5   16.2     7.9       0    29.6   286.1
   1943   6   19.1    10.7       0    60.1   191.0
   1943   7   21.1    11.8       0    14.2   213.9
   1943   8   22.0    12.8       0    40.8   160.5
   1943   9   18.6    10.5       0    64.8    ---
   1943  10   15.4     9.0       0    35.6    99.5
   1943  11    9.4     3.0       3    83.5    ---
   1943  12    6.6     1.7       2    38.2    ---
   1944   1    8.8     2.3       2    51.4    ---
   1944   2    6.1     1.6       3    36.5    ---
   1944   3    9.3     0.8      10    19.3   130.0
   1944   4   13.1     5.4       1   102.4    ---
   1944   5   16.1     6.4       1    13.3   254.5
   1944   6   17.5    10.0       0    39.7   132.5
   1944   7   19.9    12.9       0    29.5   157.1
   1944   8   21.4    14.3       0    34.3    ---
   1944   9   17.0     9.5       0    89.7   163.1
   1944  10   13.1     7.2       0    95.8    ---
   1944  11    9.5     3.1       2   128.0    58.5
   1944  12    5.8     1.0       8    40.8    ---
   1945   1    3.0    -2.4      22    60.9    33.9
   1945   2   10.5     3.2       2    48.9    71.5
   1945   3   11.8     4.1       1    35.8
   1945   4   13.0     5.4       0    51.9   160.4
   1945   5   17.1     7.5       1    44.2   169.9
   1945   6   19.6    10.9       0    53.0   206.8
   1945   7   21.6    13.1       0    30.2   203.1
   1945   8   19.5    12.3       0   111.1   152.6
   1945   9   18.4    12.3       0    31.2    ---
   1945  10   16.0     9.4       0    39.7   111.5
   1945  11   10.3     6.2       0    40.1    ---
   1945  12    7.8     2.4       8    75.4    48.1
   1946   1    6.0     2.0       6    37.8    ---
   1946   2    8.8     3.6       4    64.0    ---
   1946   3    7.6     2.0       5    32.8    91.3
   1946   4   13.9     5.0       2    20.6   221.7
   1946   5   13.1     7.6       0    44.7   194.4
   1946   6   17.3     9.3       0    73.5   169.9
   1946   7   20.6    12.7       0    76.2   223.6
   1946   8   19.0    11.6       0   125.3   136.3
   1946   9   18.3    11.3       0    94.5   139.6
   1946  10   13.4     9.1       0    47.7    ---
   1946  11   10.5     5.8       0    92.9    51.4
   1946  12    5.7     0.8       9    77.8    ---
   1947   1    4.4    -0.7      19    49.6    72.9
   1947   2   -0.5    -3.6      26    58.4    ---
   1947   3    6.0     0.3      14   101.5    ---
   1947   4   12.9     5.0       1    35.0    ---
   1947   5   15.8     8.8       0    14.5   242.8
   1947   6   20.0    11.1       0    25.0   224.8
   1947   7   ---     ---     ---     ---     ---
   1947   8   21.7    15.3       0     3.7   295.3
   1947   9   20.5    12.2       0    10.4   187.2
   1947  10   16.0     7.8       0     8.6    ---
   1947  11   10.8     4.5       3    35.7    ---
   1947  12    8.2     3.1       6    55.4    53.1
   1948   1    8.2     2.7       6    93.6    47.0
   1948   2    7.5     2.3       4    18.1    ---
   1948   3   11.3     3.8       1    12.1   181.4
   1948   4   12.5     5.4       0    30.2   219.1
   1948   5   14.1     7.2       0    56.0   237.6
   1948   6   17.2     9.9       0    86.4   204.0
   1948   7   18.4    11.3       0    41.3   181.0
   1948   8   18.9    11.9       0    73.6   147.4
   1948   9   18.3    10.7       0    22.9   149.1
   1948  10   14.3     8.0       0    30.5    97.4
   1948  11   10.3     3.8       5    37.5    63.1
   1948  12    8.9     4.6       1    39.5    65.4
   1949   1    7.9     1.8       5    28.5    70.0
   1949   2    9.7     1.9       4    24.1   121.8
   1949   3    6.9     1.7       6    37.9    95.8
   1949   4   14.2     5.9       0    33.8   214.1
   1949   5   13.0     6.8       0    42.5   181.3
   1949   6   17.3     9.7       0     9.2   257.0
   1949   7   20.8    12.7       0    12.2   235.8
   1949   8   21.3    12.8       0    19.9   233.9
   1949   9   21.0    14.7       0    47.4   176.1
   1949  10   16.3     9.2       1    65.0   138.4
   1949  11    9.7     4.2       3    56.7    68.5
   1949  12    8.3     3.0       4    43.2    64.6
   1950   1    6.5     2.3       7    31.9    40.3
   1950   2    9.0     2.7       3    58.2    96.1
   1950   3   10.5     3.8       4     8.3   128.4
   1950   4   11.0     4.2       2    51.6   181.2
   1950   5   13.5     7.8       0    55.1   179.5
   1950   6   20.7    12.3       0    43.9   287.6
   1950   7   20.0    13.4       0    64.7   217.4
   1950   8   20.7    12.9       0    40.1   202.8
   1950   9   17.6    10.4       0    65.3   131.7
   1950  10   13.5     7.9       0    31.6   134.6
   1950  11    9.0     3.9       2    92.7    55.6
   1950  12    3.7    -0.8      16    62.8    39.0
   1951   1    6.9     1.6       8    51.7    54.1
   1951   2    6.3     1.7       2    72.4    73.5
   1951   3    7.6     1.9       8    66.8   122.6
   1951   4   10.2     3.2       0    96.8   197.3
   1951   5   12.7     7.3       0    48.2   198.4
   1951   6   16.9     9.8       0    50.6   257.8
   1951   7   20.5    12.5       0    78.3   240.9
   1951   8   19.1    12.3       0    58.0   175.8
   1951   9   18.2    11.5       0    47.5   143.3
   1951  10   14.3     8.4       0    14.1   153.2
   1951  11   11.2     6.1       1    85.8    57.4
   1951  12    8.0     3.2       5    38.1    72.2
   1952   1    5.5     0.4      11    64.0    84.3
   1952   2    5.8    -0.2      14    26.6    63.7
   1952   3    7.8     2.9       4    60.5    96.0
   1952   4   12.5     4.9       3    21.4   195.9
   1952   5   15.6     8.6       0    26.8   245.5
   1952   6   18.9    10.3       0    39.1   220.9
   1952   7   20.8    12.7       0    40.9   202.2
   1952   8   20.8    13.0       0   109.4   200.0
   1952   9   15.8     7.8       0    70.8   164.8
   1952  10   12.9     6.3       0    44.8   126.2
   1952  11    7.4     2.1       7   106.9    69.1
   1952  12    5.5     0.6      11    70.9    69.6
   1953   1    5.2     0.4      17    25.0    32.5
   1953   2    6.9     1.6       7    34.6    74.3
   1953   3    8.2     1.3       9     7.5   111.3
   1953   4   10.2     4.4       0    44.3   166.1
   1953   5   14.9     8.6       0    28.9   247.7
   1953   6   16.2    10.8       0    46.6   158.8
   1953   7   20.0    12.0       0    63.8   213.3
   1953   8   20.7    12.3       0    58.4   224.6
   1953   9   18.3    10.1       0    40.8   197.6
   1953  10   14.8     8.2       0    42.4    86.6
   1953  11   11.1     5.8       0    24.5    61.7
