Ballypatrick Forest
Location 3176E 4386N (Irish Grid) 156m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1984  10   12.3     5.4       1    ---     95.8
   1984  11    8.7     3.2       4    ---     57.3
   1984  12    7.7     2.2       6    ---     31.6
   1985   1    4.3    -1.1      19    ---     51.3
   1985   2    5.9     1.0      11    ---     61.5
   1985   3    6.7     1.1       8    ---     99.4
   1985   4   10.3     3.6       1    ---    154.5
   1985   5   12.4     4.4       2    ---    184.6
   1985   6   13.7     6.3       0    ---    206.4
   1985   7   16.2     9.8       0    ---    115.7
   1985   8   15.1     9.2       0    ---    115.8
   1985   9   15.3     9.2       0    ---     80.2
   1985  10   12.8     6.6       0    ---     98.7
   1985  11    6.8     1.2       8    ---     46.8
   1985  12    7.7     2.5       6    ---     30.6
   1986   1    5.5    -0.1      15    ---     30.6
   1986   2    2.8    -1.4      19    ---     82.3
   1986   3    7.7     0.8       9    ---    120.9
   1986   4    7.5     0.8       9    ---    162.3
   1986   5   12.0     4.9       0    ---    168.6
   1986   6   15.9     8.0       0    ---    178.5
   1986   7   16.0     9.7       0    ---     94.6
   1986   8   13.9     7.8       0    ---    166.2
   1986   9   13.9     6.4       5    ---    162.1
   1986  10   12.4     6.2       0    ---    100.9
   1986  11    9.5     3.2       3    ---     69.6
   1986  12    7.5     1.9       7    ---     26.9
   1987   1    5.2     0.6    ---     ---     43.7
   1987   2    6.8     0.1    ---     ---     74.8
   1987   3    6.7     1.1    ---     ---     74.4
   1987   4   11.2     4.7    ---     ---     99.6
   1987   5   12.0     5.0    ---     ---    201.2
   1987   6   13.2     6.8    ---     ---    133.5
   1987   7   16.8    10.3    ---     ---     99.5
   1987   8   16.0    10.2    ---     ---    123.1
   1987   9   14.5     7.7    ---     ---    155.4
   1987  10   10.7     4.7    ---     ---    107.6
   1987  11    8.5     4.4    ---     ---     46.8
   1987  12    8.2     3.2    ---     ---     28.2
   1988   1    6.5     1.4    ---     ---     51.8
   1988   2    6.3     1.6    ---     ---     82.9
   1988   3    7.9     2.3    ---     ---     77.8
   1988   4   10.1     4.0    ---     ---    145.2
   1988   5   13.5     5.4    ---     ---    205.2
   1988   6   16.0     8.5    ---     ---    189.9
   1988   7   14.5     9.5    ---     ---    118.7
   1988   8   15.5    10.1    ---     ---    117.8
   1988   9   14.1     8.8    ---     ---    105.3
   1988  10   12.0     6.4    ---     ---     85.6
   1988  11    8.6     3.0    ---     60.6    66.0
