Waddington
Location 4988E 3653N 68m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1961   9   19.2    11.0       0    55.0   126.8
   1961  10   14.1     6.8       0    51.7   101.8
   1961  11    8.8     2.6       5    22.5    58.5
   1961  12    4.5    -1.4      22    70.2    60.9
   1962   1    6.8     0.9       9    43.4    78.2
   1962   2    7.2     1.0      10    15.0    71.1
   1962   3    6.1    -1.5      22    27.7   121.0
   1962   4   11.1     3.3       2    58.7   150.3
   1962   5   13.6     5.8       0    42.9   151.9
   1962   6   18.6     8.8       0     3.5   228.2
   1962   7   18.2    10.3       0    39.2   125.3
   1962   8   18.3    10.6       0   102.3   153.8
   1962   9   16.4     8.9       0    77.0   119.7
   1962  10   13.8     6.5       1    15.9   101.9
   1962  11    7.7     2.0       7    44.5    50.0
   1962  12    4.2    -2.2      21    26.5    69.1
   1963   1    0.4    -4.3      27    22.4    61.8
   1963   2    0.9    -4.1      28    12.2    58.1
   1963   3    8.9     1.9       7    49.0    98.1
   1963   4   11.8     4.1       1    47.2   119.9
   1963   5   14.6     6.1       0    35.7   206.2
   1963   6   19.1     9.7       0    28.5   206.4
   1963   7   19.6    10.3       0    85.4   201.4
   1963   8   17.2    10.1       0    91.8   109.1
   1963   9   17.1     9.0       0    57.6   147.9
   1963  10   13.9     7.1       0    28.3    85.9
   1963  11   10.5     4.7       0    69.9    52.5
   1963  12    5.0     0.0      10    14.8    51.6
   1964   1    4.9    -0.2      13    16.3    50.2
   1964   2    6.9     1.2      10    15.6    71.5
   1964   3    5.7     1.0      11    79.2    59.1
   1964   4   12.4     5.0       0    40.0   111.1
   1964   5   18.3     8.2       0    11.9   228.3
   1964   6   17.6     9.6       0    68.9   129.8
   1964   7   20.6    11.7       0    25.7   192.2
   1964   8   20.4    11.2       0    35.5   198.8
   1964   9   19.4     8.5       0     8.0   171.4
   1964  10   12.5     4.7       0    21.5   123.4
   1964  11    9.7     3.9       5    32.9    51.6
   1964  12    5.6    -0.4      16    26.8    53.3
   1965   1    5.5     0.4      17    35.6    80.5
   1965   2    5.4     0.8      10    16.8    32.2
   1965   3    9.0     0.5      14    45.1   136.3
   1965   4   12.0     3.7       3    51.2   150.5
   1965   5   15.3     7.5       0    50.0   180.6
   1965   6   18.8     9.6       0    54.2   205.8
   1965   7   16.9     9.8       0    94.6   101.2
   1965   8   19.1    10.1       0    49.7   176.1
   1965   9   16.3     9.0       0   136.0   109.5
   1965  10   14.5     6.4       0    10.9   111.6
   1965  11    6.8     1.5      11    83.7    73.2
   1965  12    6.3     1.2       6   140.0    56.9
   1966   1    4.0    -0.3      18    36.7    38.5
   1966   2    7.5     2.3      11    92.7    47.0
   1966   3    9.8     2.6       4    16.7   125.9
   1966   4    9.5     3.7       3    72.0    90.1
   1966   5   15.6     6.4       0    37.1   225.1
   1966   6   20.0    10.8       0    65.3   196.7
   1966   7   18.6    10.8       0    79.5   179.6
   1966   8   19.0    10.5       0    46.9   183.5
   1966   9   17.7     9.9       0    29.3   129.3
   1966  10   13.1     6.6       0    74.0    80.2
   1966  11    7.7     2.3       4    47.6    48.3
   1966  12    7.4     1.6       6    50.1    45.5
   1967   1    6.2     1.2      10    20.9    74.7
